filename,wellID,counts,well,wellNum
data/assayplate_3765/AssayPlate_Corning_3765_H23_T0001F001L01A01Z01C01.tif,H23,827,H,23
data/assayplate_3765/AssayPlate_Corning_3765_H01_T0001F001L01A01Z01C01.tif,H01,1081,H,01
data/assayplate_3765/AssayPlate_Corning_3765_H10_T0001F001L01A01Z01C01.tif,H10,1023,H,10
data/assayplate_3765/AssayPlate_Corning_3765_H18_T0001F001L01A01Z01C01.tif,H18,1242,H,18
data/assayplate_3765/AssayPlate_Corning_3765_H09_T0001F001L01A01Z01C01.tif,H09,1544,H,09
data/assayplate_3765/AssayPlate_Corning_3765_H08_T0001F001L01A01Z01C01.tif,H08,1454,H,08
data/assayplate_3765/AssayPlate_Corning_3765_H02_T0001F001L01A01Z01C01.tif,H02,853,H,02
data/assayplate_3765/AssayPlate_Corning_3765_H11_T0001F001L01A01Z01C01.tif,H11,744,H,11
data/assayplate_3765/AssayPlate_Corning_3765_H20_T0001F001L01A01Z01C01.tif,H20,780,H,20
data/assayplate_3765/AssayPlate_Corning_3765_H17_T0001F001L01A01Z01C01.tif,H17,1331,H,17
data/assayplate_3765/AssayPlate_Corning_3765_H16_T0001F001L01A01Z01C01.tif,H16,1264,H,16
data/assayplate_3765/AssayPlate_Corning_3765_H13_T0001F001L01A01Z01C01.tif,H13,921,H,13
data/assayplate_3765/AssayPlate_Corning_3765_H06_T0001F001L01A01Z01C01.tif,H06,963,H,06
data/assayplate_3765/AssayPlate_Corning_3765_H12_T0001F001L01A01Z01C01.tif,H12,883,H,12
data/assayplate_3765/AssayPlate_Corning_3765_H03_T0001F001L01A01Z01C01.tif,H03,622,H,03
data/assayplate_3765/AssayPlate_Corning_3765_H22_T0001F001L01A01Z01C01.tif,H22,863,H,22
data/assayplate_3765/AssayPlate_Corning_3765_H04_T0001F001L01A01Z01C01.tif,H04,513,H,04
data/assayplate_3765/AssayPlate_Corning_3765_H07_T0001F001L01A01Z01C01.tif,H07,1323,H,07
data/assayplate_3765/AssayPlate_Corning_3765_H19_T0001F001L01A01Z01C01.tif,H19,1559,H,19
data/assayplate_3765/AssayPlate_Corning_3765_H21_T0001F001L01A01Z01C01.tif,H21,995,H,21
data/assayplate_3765/AssayPlate_Corning_3765_H24_T0001F001L01A01Z01C01.tif,H24,1027,H,24
data/assayplate_3765/AssayPlate_Corning_3765_H05_T0001F001L01A01Z01C01.tif,H05,627,H,05
data/assayplate_3765/AssayPlate_Corning_3765_I23_T0001F001L01A01Z01C01.tif,I23,833,I,23
data/assayplate_3765/AssayPlate_Corning_3765_I16_T0001F001L01A01Z01C01.tif,I16,1129,I,16
data/assayplate_3765/AssayPlate_Corning_3765_I08_T0001F001L01A01Z01C01.tif,I08,1318,I,08
data/assayplate_3765/AssayPlate_Corning_3765_I05_T0001F001L01A01Z01C01.tif,I05,476,I,05
data/assayplate_3765/AssayPlate_Corning_3765_I22_T0001F001L01A01Z01C01.tif,I22,847,I,22
data/assayplate_3765/AssayPlate_Corning_3765_I17_T0001F001L01A01Z01C01.tif,I17,1150,I,17
data/assayplate_3765/AssayPlate_Corning_3765_I07_T0001F001L01A01Z01C01.tif,I07,1015,I,07
data/assayplate_3765/AssayPlate_Corning_3765_I14_T0001F001L01A01Z01C01.tif,I14,624,I,14
data/assayplate_3765/AssayPlate_Corning_3765_I03_T0001F001L01A01Z01C01.tif,I03,826,I,03
data/assayplate_3765/AssayPlate_Corning_3765_I24_T0001F001L01A01Z01C01.tif,I24,978,I,24
data/assayplate_3765/AssayPlate_Corning_3765_I20_T0001F001L01A01Z01C01.tif,I20,582,I,20
data/assayplate_3765/AssayPlate_Corning_3765_I21_T0001F001L01A01Z01C01.tif,I21,652,I,21
data/assayplate_3765/AssayPlate_Corning_3765_I06_T0001F001L01A01Z01C01.tif,I06,809,I,06
data/assayplate_3765/AssayPlate_Corning_3765_I19_T0001F001L01A01Z01C01.tif,I19,925,I,19
data/assayplate_3765/AssayPlate_Corning_3765_I02_T0001F001L01A01Z01C01.tif,I02,889,I,02
data/assayplate_3765/AssayPlate_Corning_3765_I09_T0001F001L01A01Z01C01.tif,I09,1098,I,09
data/assayplate_3765/AssayPlate_Corning_3765_I01_T0001F001L01A01Z01C01.tif,I01,1061,I,01
